192.168.1.1 "Home Router"
sampo.ru "Regions internet provider from ptz"
gdfshsd.ghgfd "имя, для обработки исключений"
yandex.ru "Москва, ул. Льва Толстого, 16. "
google.com "США: Маунтин-Вью, Калифорния"
erty "имя, для обработки исключений"
яндекс.рф "Проверка на пинг кириллицу"
 "Пустое имя, для обработки исключений"
rambler.ru "Москва Варшавское ш., 9, стр. 1. БЦ «Даниловская мануфактура», корпус «Ряды Солдатенкова»."
facebook.com "США: Менло-Парк, Калифорния"
100.77.160.1 "Маршрутизатор у ростелекома какой то на шару в инете нашел"
kia.com "Республика Корея: Сеул"
vk.ru "сайт для тестов"
356.457.541.999 "неверный IP для тестов исключений"
vk.com "Россия: Москва, Санкт-Петербург"
github.com "США: Редмонд, Вашингтон"
wikipedia.com "неизвестно, больше тут для массовки"
101.ru "радио, проверка доступности Alternative - TOP!"
harvard.edu "Кембридж, Массачусетс, США"
abcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijk.com "длинный сайт для тестов сокращения имен в таблице"
10.10.10.10 "IP который может реально существовать, но у меня добавлен для тестов"
nalog.ru "Сайт налоговой, у которого отключен ICMP, добавлен для тестов"
